Open time,BTCBUSD_Open,BTCBUSD_High,BTCBUSD_Low,BTCBUSD_Close,BUSDUSDT_Volume,ETHBUSD_Open,ETHBUSD_High,ETHBUSD_Low,ETHBUSD_Close,BNBUSDT_Open,BNBUSDT_High,BNBUSDT_Low,BNBUSDT_Close,BUSDTRY_Volume,BNBBUSD_Open,BNBBUSD_High,BNBBUSD_Low,BNBBUSD_Close,ADABUSD_Open,ADABUSD_High,ADABUSD_Low,ADABUSD_Close,XRPBUSD_Open,XRPBUSD_High,XRPBUSD_Low,XRPBUSD_Close,LTCBUSD_Open,LTCBUSD_High,LTCBUSD_Low,LTCBUSD_Close,LINKBUSD_Open,LINKBUSD_High,LINKBUSD_Low,LINKBUSD_Close,VETBUSD_Open,VETBUSD_High,VETBUSD_Low,VETBUSD_Close,VETBUSD_Volume,ETCBUSD_Open,ETCBUSD_High,ETCBUSD_Low,ETCBUSD_Close,EOSBUSD_Open,EOSBUSD_High,EOSBUSD_Low,EOSBUSD_Close,TRXBUSD_Open,TRXBUSD_High,TRXBUSD_Low,TRXBUSD_Close,BCHBUSD_Open,BCHBUSD_High,BCHBUSD_Low,BCHBUSD_Close,XLMBUSD_Open,XLMBUSD_High,XLMBUSD_Low,XLMBUSD_Close,QTUMBUSD_Open,QTUMBUSD_High,QTUMBUSD_Low,QTUMBUSD_Close
2020-01-01,7169.12,7231.86,7151.58,7176.58,598414.07,128.54,132.51,128.43,130.35,13.7159,13.8692,13.65,13.7184,116.78,13.6292,13.8192,13.5944,13.6794,0.03282,0.03363,0.03282,0.03335,0.1926,0.19433,0.19181,0.19219,41.11,41.91,41.11,41.47,1.7855,1.8345,1.7819,1.801,0.005235,0.005496,0.005235,0.005361,2540634.0,4.4701,4.5479,4.4701,4.53,2.5738,2.6267,2.5686,2.594,0.01325,0.01337,0.01311,0.01316,203.42,207.95,202.63,203.65,0.04471,0.04548,0.04471,0.04522,1.604,1.62,1.591,1.593
2020-01-02,7177.13,7185.03,6900.0,6945.33,1795817.9,129.88,129.88,126.01,126.87,13.7072,13.7302,12.98,13.0105,0.0,13.6365,13.673,12.9481,12.9863,0.03333,0.03337,0.03196,0.03258,0.19191,0.19191,0.18484,0.18725,41.48,41.48,39.18,39.36,1.7875,1.7916,1.7058,1.725,0.005325,0.00537,0.00506,0.005074,2912630.0,4.4396,4.4396,4.1955,4.2274,2.5945,2.5998,2.429,2.4467,0.01316,0.01319,0.01275,0.01281,203.44,204.78,192.41,195.44,0.04516,0.04516,0.04341,0.04343,1.594,1.597,1.528,1.53
2020-01-03,6944.41,7393.5,6853.79,7329.2,3498114.15,127.02,134.63,125.7,133.75,13.0104,13.75,12.9801,13.6474,16958.93,12.9544,13.734,12.9334,13.6024,0.03262,0.03431,0.03234,0.03409,0.18633,0.19358,0.18441,0.19297,39.17,42.27,38.78,42.12,1.7227,1.8242,1.7,1.8035,0.005046,0.00543,0.005012,0.005323,2455551.0,4.201,4.622,4.1816,4.5576,2.4428,2.6571,2.4292,2.6348,0.01281,0.01352,0.01266,0.01342,194.97,225.24,192.22,221.76,0.04347,0.04557,0.04317,0.04551,1.53,1.636,1.514,1.624
2020-01-04,7330.91,7388.0,7263.55,7346.2,2473634.02,134.2,135.52,132.38,134.17,13.6481,13.871,13.5102,13.8092,3127.94,13.6014,13.8441,13.4546,13.7666,0.03407,0.03416,0.03373,0.03406,0.1928,0.19299,0.19119,0.19238,42.15,42.75,41.77,42.75,1.7956,1.8363,1.7905,1.8321,0.005322,0.005655,0.005306,0.005621,2382792.0,4.5734,4.7405,4.5198,4.7405,2.6375,2.6564,2.616,2.6428,0.01342,0.01349,0.01323,0.01342,222.4,226.92,219.37,224.18,0.04529,0.04572,0.0451,0.0455,1.62,1.641,1.601,1.64
2020-01-05,7346.2,7486.66,7315.0,7351.42,2647991.96,134.26,137.99,134.26,134.99,13.7978,14.3133,13.791,14.0532,881.44,13.7799,14.2921,13.7745,14.0176,0.03439,0.0352,0.03426,0.03451,0.19345,0.19691,0.19345,0.19434,42.82,44.52,42.72,43.27,1.8368,1.8369,1.7904,1.7904,0.005612,0.005684,0.005432,0.005458,3652772.0,4.8282,4.9933,4.7588,4.8316,2.6427,2.7718,2.6427,2.6807,0.01342,0.01386,0.01342,0.01352,226.29,227.18,221.05,222.62,0.04549,0.04605,0.04525,0.04525,1.646,1.673,1.621,1.629
2020-01-06,7349.84,7794.98,7343.29,7755.1,4159305.21,135.02,144.23,134.89,143.94,14.0488,14.9873,14.0168,14.9471,181.67,14.0176,14.9923,13.9941,14.9613,0.0345,0.03733,0.03448,0.03733,0.1944,0.22351,0.1944,0.22306,43.24,46.07,43.16,45.64,1.8268,1.937,1.8268,1.9294,0.005451,0.005732,0.005448,0.00572,3845942.0,4.8971,5.1,4.868,5.026,2.678,2.8585,2.678,2.848,0.01352,0.01472,0.01347,0.01471,222.8,245.44,222.27,244.11,0.04557,0.05045,0.04556,0.05045,1.627,1.742,1.627,1.742
2020-01-07,7757.48,8204.71,7730.0,8154.74,7711175.37,144.35,145.08,138.97,142.92,14.9427,15.187,14.456,15.0226,111.67,14.9658,15.1766,14.4611,15.0244,0.03742,0.03805,0.03645,0.03702,0.22383,0.225,0.2075,0.21366,45.93,46.99,44.53,46.36,1.9347,2.1218,1.9091,2.0909,0.005755,0.005755,0.005482,0.005583,3310520.0,5.0626,5.0626,4.7262,4.8291,2.8528,2.8857,2.7555,2.8522,0.01477,0.01482,0.01407,0.01435,244.31,246.79,232.16,242.95,0.05064,0.05099,0.04754,0.04827,1.753,1.774,1.669,1.739
2020-01-08,8150.58,8459.66,7825.0,8047.67,8051864.82,142.9,147.83,137.16,140.45,15.0212,15.32,14.2,14.5334,2821.57,15.0397,15.3084,14.1686,14.5061,0.03715,0.03874,0.03592,0.0363,0.21373,0.2186,0.2033,0.20742,46.41,48.25,44.12,45.39,2.1142,2.3437,2.1142,2.2042,0.005599,0.005599,0.005224,0.005483,5594159.0,4.8683,5.0327,4.7083,4.9547,2.8467,2.9495,2.7163,2.7751,0.01435,0.01467,0.01381,0.01401,242.16,255.0,229.8,240.56,0.04856,0.04936,0.04673,0.04757,1.747,1.767,1.663,1.683
2020-01-09,8045.25,8045.25,7750.0,7812.32,4932762.28,140.43,141.26,135.24,137.87,14.5334,14.5823,14.201,14.3978,812.55,14.5006,14.5674,14.1966,14.3463,0.03592,0.0363,0.03551,0.03616,0.20703,0.20837,0.20126,0.20359,44.99,45.71,43.92,44.88,2.1847,2.215,2.1052,2.1697,0.005426,0.005446,0.005315,0.005342,1477392.0,4.9272,5.1991,4.8797,5.1689,2.7751,2.7939,2.6943,2.7471,0.01401,0.01411,0.01373,0.01398,239.59,243.52,231.37,237.77,0.04757,0.04814,0.04709,0.04723,1.673,1.679,1.62,1.642
2020-01-10,7810.15,8195.36,7669.25,8195.36,6906320.38,137.58,145.0,135.23,144.71,14.3806,15.0973,14.11,15.07,4368.57,14.3367,15.0588,14.1,15.0311,0.03621,0.03706,0.0348,0.03699,0.20459,0.21249,0.20051,0.21249,44.73,49.66,43.79,48.99,2.185,2.229,2.1523,2.2266,0.005326,0.00558,0.005297,0.005447,3107520.0,5.1947,5.387,4.9192,5.3488,2.7443,3.0,2.65,2.9888,0.01398,0.01485,0.01365,0.01467,238.17,274.62,231.42,271.54,0.04693,0.04805,0.04566,0.04797,1.637,1.734,1.611,1.732
